11,Avocado Cream Sauce,kfreekave,NA,10M,10M,2006-05-11,Make and share this Avocado Cream Sauce recipe from Food.com.,{NA},"{""2"", ""1/4"", ""1/2"", ""1"", ""1/2""}","{""avocados"", ""sour cream"", ""plain yogurt"", ""fresh lime juice"", ""Tabasco sauce""}",0,0,0,"{""Peel, seed and smash avocados. Add all the other ingredients. Mix until smooth.""}"
12,Grilled Garlic and Herb Burgers,Marie,15M,10M,25M,2006-05-11,"What is better than a burger on the grill?  These are very nicely flavored with herbs and garlic.  Fresh herbs are best, but you can use dried; just cut back quantities because they have a more intense flavor.",{NA},"{""1"", ""2"", ""1"", ""1"", ""1"", ""1"", ""1"", ""2"", ""1/2"", ""1/4""}","{""lean ground beef"", ""fresh basil"", ""fresh thyme"", ""chives"", ""garlic clove"", ""egg"", ""lemon juice"", ""salt"", ""black pepper""}",0,0,4,"{""Preheat grill for medium-high heat."", ""In a large mixing bowl, combine meat, herbs, garlic, bread crumbs, egg, lemon juice, salt, and pepper until well mixed."", ""Split mixture into four equal portions."", ""Shape into rectangular patties about 5-6 inches long."", ""Place patties on lightly oiled grill grate and cook for 8-10 minutes on each side to the degree of doneness that you desire."", ""Remove from heat and serve on buns.""}"
13,Oatmeal-Applesauce Cookies,Kittencalrecipezazz,12M,10M,22M,2006-05-11,Make and share this Oatmeal-Applesauce Cookies recipe from Food.com.,"{""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/20/picXgQSxP.jpg""}","{""1 3/4"", ""1 1/2"", ""1"", ""1/2"", ""1/2"", ""1"", ""1/2"", ""1"", ""1/2"", ""1/2"", ""1"", ""3/4"", ""1"", ""1"", ""1""}","{""quick-cooking oats"", ""flour"", ""baking powder"", ""baking soda"", ""salt"", ""cinnamon"", ""nutmeg"", ""light brown sugar"", ""white sugar"", ""butter"", ""egg"", ""applesauce"", ""chocolate chips"", ""raisins"", ""walnuts""}",5,2,0,"{""Set oven to 375�."", ""Lightly grease a baking sheet."", ""In a medium bowl mix the first 7 dry ingredients together."", ""In a large bowl combine combine sugars with an electric mixer until combined."", ""Add in butter and beat to form a grainy paste."", ""Add in egg and applesauce; blend until smooth."", ""Add in flour mixture; mix until combined."", ""Add in the chocolate chips, nuts and raisins; mix until combined."", ""Drop by tablespoonfuls onto prepared baking sheet leaving about 2-inches apart."", ""Bake for 12-14 minutes, or until light brown."", 
""Immediately transfer to a cool flat surface to cool.""}"
14,Maple Nut Fudge,JanetB-KY,25M,20M,45M,2006-05-11,"Classic maple Fudge recipe. Very rich, very sweet and not hard at all so long as you use a candy thermometer.",{NA},"{""1 1/2"", ""1 3/4"", ""1"", ""1/4"", ""1/4"", ""1"", ""1""}","{""real maple syrup"", ""sugar"", ""heavy cream"", ""evaporated milk"", ""salt"", ""unsalted butter"", ""vanilla extract"", ""walnuts""}",5,9,0,"{""Line an 8 inch square pan with nonstick foil and spray with cooking spray."", ""Combine syrup, sugar, heavy cream and salt in a medium saucepan, preferably a non stick one; bring to boiling over medium high heat, stirring constantly; once boiling, cook 7 to 8 minutes or until mixture registers 238 degrees f. on a candy thermometer."", ""Remove pan from heat; with an electric mixer, beat in butter and vanilla."", ""Continue to beat on high power for 8 to 9 minutes, or until thickened, light ion color and fudge loses its glossy finish; stir in nuts and spread in prepared pan; let stand until firm about 25 minutes then cut into squares.""
}"
15,Tuna Artichoke Melts,ChrisReynolds,7M,8M,15M,2006-05-11,Make and share this Tuna Artichoke Melts recipe from Food.com.,{NA},"{""1"", ""1/3"", ""2"", ""1/2"", ""1/4"", ""1/8"", ""2""}","{""light chunk tuna in water"", ""water-packed artichoke hearts"", ""fat-free mayonnaise"", ""dried oregano"", ""English muffins""}",5,3,2,"{""In a small bowl, combine the tuna, artichokes, mayonnaise, 1/4 cup cheese, lemon-pepper, and oregano.  Spread over English muffin halves."", ""Place on a baking sheet.  Broil 4-6 inches from the heat for 3-5 minutes or until heated through."", ""Sprinkle with remaining cheese; broil 1-2 minutes longer or until cheese is melted.""}"
16,Richest Chocolate Cake Ever,HannahSve,20M,10M,30M,2006-05-11,"Originally called &quot;Better Than Sex Cake,&quot; but I just couldn't bring myself to make THAT statement.  Regardless of what you call it, it's pretty rich.",{NA},"{""1"", ""3"", ""1/3"", ""1 1/3"", ""1"", ""2"", ""1""}","{""eggs"", ""water"", ""sweetened condensed milk""}",5,1,0,"{""Bake german chocolate cake mix according to package directions."", ""While cake is still warm poke holes in top of cake with the end of a wooden spoon, pour sweetened condensed milk over top."", ""Let cake cool. Pour hot fudge topping over top of cake and let set."", ""Spread on whipped topping."", ""Dig in!""}"
17,Tropical Breakfast Risotti,SweetSueAl,20M,10M,30M,2006-05-11,"Low in sodium &amp; cholesterol, a yummy breakfast treat.  From Sunmaid Fruit and Sunshine Recipe Book",{NA},"{""1 1/2"", ""1"", ""1"", ""1"", ""1/2"", ""1/2"", ""1/2"", ""1""}","{""water"", ""instant brown rice"", ""pineapple tidbits"", ""skim evaporated milk"", ""raisins"", ""sweetened flaked coconut"", ""banana""}",0,0,6,"{""Combine water, rice, and pineapple liquid in a 2-qt saucepan. Cook over high heat to boiling.  Reduce heat to medium and simmer uncovered, stirring olcassionally until most of the water is absorbed, 7 to 8 minutes."", ""Stir in milk and increase heat to high.  Cook until mixture boils, reduce heat to medium."", ""Cook until most of the milk is absorbed and mixture is soft and creamy, stirring occasionally, 10 to 12 minutes."", ""Stir in Pineapple, raisins, coconut, almonds and banana.""}"
18,Raspberry Almond Bars,BestTeenChef,40M,15M,55M,2006-05-11,This is my favorite bar recipe. It tastes delicious and is well worth the effort! This would be a treat on anybody's Christmas tray or maybe even a potluck. I used Oil crust for 1 pie Recipe #82181 for the pie dough and it worked out great!  Hope you enjoy it!,"{""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/25/piciqEurX.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/25/picY4UUHv.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/25/picuQysUw.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/25/picHJjJBN.jpg""}","{""1"", ""1/4"", ""1/2"", ""2/3"", ""2"", ""2/3"", ""1/4"", NA, NA, ""2"", ""1 1/2 - 2"", ""2"", ""1""}","{""butter"", ""margarine"", ""sugar"", ""eggs"", ""flour"", ""salt"", ""butter"", ""icing sugar"", ""milk""}",4,6,24,"{""Prepare pie dough for one crust unbaked shell. Line an 8-inch square ungreased cake pan with pastry."", ""Spread with raspberry jam."", ""Cream butter and sugar together thoroughly. Add eggs, beating until light and fluffy. Add flour and salt; blend well."", ""Divide batter in half. Colour half pink and half green."", ""First spread green layer, doing your best not to spread the jam onto the green batter. Once green is covering all of the jam, repeat with pink layer."", ""Bake at 350�F for 30-40 minutes or until toothpick comes out clean. Cool completely then frost."", 
""Frosting:"", ""Beat frosting ingredients together until smooth and creamy, adding enough icing sugar to make a spreading consistency. Spread over cooled bars."", ""Let set and then cut into bars.""}"
19,Marinated Lemon Vinaigrette Vegetables,Marie,10M,30M,40M,2006-05-11,Make and share this Marinated Lemon Vinaigrette Vegetables recipe from Food.com.,{NA},"{""1"", ""1/2"", ""3"", ""1 1/2"", ""1/4"", ""2"", ""2"", ""1"", NA, ""1/2"", ""1/2"", ""1/2"", ""1/8"", ""2""}","{""fresh Brussels sprout"", ""carrot"", ""cauliflower florets"", ""broccoli florets"", ""lemon juice"", ""fresh parsley"", ""garlic clove"", ""lemon zest"", ""dried thyme"", ""dried basil"", ""salt"", ""pepper"", ""cherry tomatoes""}",0,0,0,"{""Place brussels sprouts and carrots in a large saucepan and add water to cover."", ""Bring to a boil and cook for 3 minutes."", ""Add cauliflower and broccoli and return to a boil."", ""Cook for 5 minutes or until vegetables are crisp-tender."", ""Rinse in cold water and drain."", ""In a large bowl, combine lemon juice, oil, parsley, garlic, lemon zest, thyme, basil, salt and pepper."", ""Add cooked vegetables and the tomatoes and toss to coat."", ""Cover and refrigerate for at least 8 hours."", ""Note: I like to combine vinaigrette ingredients and let them sit for a while for the flavors to develop before adding the veggies.""
}"
20,Chocolate Brownies,catdesales,25M,10M,35M,2006-05-11,Make and share this Chocolate Brownies recipe from Food.com.,{NA},"{""2/3"", ""1 1/2"", ""2"", ""1"", ""1/2"", ""1/2"", ""1/2"", ""1""}","{""shortening"", ""sugar"", ""eggs"", ""flour"", ""baking powder"", ""salt"", ""vanilla""}",4,1,0,"{""Blend shortening, sugar, eggs, together. Combine flour, cocoa, B.P., salt, vanilla. Spread in greased 8 inch square baking pan. Bake at 350 degrees for 25-30 minutes.""}"
21,Rice for Dummies and in the Microwave Too!,Sally,20M,5M,25M,2006-05-11,"Found this recipe on a bag of Basmati Rice from Sams and I feel like a genius!  I am not even that crazy about rice but I can stuff this stuff down!  I have made it several times now (had to before I posted it, would have been afraid not to!).  What I like most about it is it turns out the same EVERY time.  Takes the stress out of it!","{""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/28/picLDp2Oh.jpg""}","{""1"", ""2"", ""1"", ""1""}","{""rice"", ""water"", ""olive oil"", ""salt""}",4.5,6,0,"{""Rinse measured rice 1 to 2 times to remove starch.  I use a strainer."", ""Place measured rice, water, oil, and salt in a microwaveable casserole dish {make it a big one so it does not boil over} cover with lid or plastic wrap allowing a little steam to release."", ""Microwave on high for 10 minutes.  Stir and recover.  Then microwave on defrost setting for 9-10 minutes  {If you have to enter a weight my microwave hits 9 minutes at 1.2 lbs."", ""Fluff with a fork before serving.""}"
22,Sauteed Asparagus W/ Bacon,tzisa,10M,10M,20M,2006-05-11,"I saw a recipe similar to this while watching Iron Chef.  This isn't the exact recipe used, but it's pretty close.  Only one pan is used, so cleanup is minimal.  Saute the garlic in oil for a  minute or so before adding the asparagus if you like your garlic crunchy &amp; toasty tasting.  This is the only way I can get my picky husband to eat asparagus.","{""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/29/pic0dk5PS.jpg""}","{""1"", ""1"", ""4 -6"", ""2""}","{""asparagus"", ""bacon"", ""garlic cloves"", ""olive oil""}",0,0,0,"{""Cut tough ends off asparagus."", ""Bundle together 3-4 asparagus stalks & wrap, bottom to top, with a slice or two of bacon."", ""Tuck loose bacon end between asparagus stalks to secure."", ""Repeat with the rest of the asparagus."", ""Heat Olive Oil in skillet over medium heat."", ""Add chopped garlic & asparagus bundles to skillet."", ""Saute 5-10 minutes, turning occasionally, until asparagus is tender & bacon is cooked.""}"
23,Bow Ties With Chicken and Peas,CharlotteJ,15M,5M,20M,2006-05-11,Make and share this Bow Ties With Chicken and Peas recipe from Food.com.,{NA},"{""8"", ""2"", ""10"", ""10 1/2"", ""1/2"", ""1/2"", ""1/4"", ""1/2""}","{""bow tie pasta"", ""chicken"", ""low-fat milk"", ""dried rosemary"", ""thyme"", ""pepper"", ""parmesan cheese""}",4,3,4,"{""Heat oven to 425 degrees."", ""Cook pasta in a large pot according to package directions."", ""Drain."", ""Put pasta into a casserole dish."", ""Add chicken, peas, soup, milk, rosemary, and pepper."", ""Mix thoroughly but gently."", ""Sprinkle with parmesan."", ""Bake for 10 minutes, or until heated through and cheese is lightly browned.""}"
24,Delicious Low-Fat Carrot Cake,Kittencalrecipezazz,35M,15M,50M,2006-05-11,Make and share this Delicious Low-Fat Carrot Cake recipe from Food.com.,"{""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/31/picGylw2W.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/31/picbOcEVu.jpg""}","{""2 1/2"", ""2"", ""1"", ""1/2"", ""1/2"", ""1/4"", ""2"", ""2"", ""1"", ""2"", ""1/2"", ""2"", ""3"", ""1""}","{""cake flour"", ""baking soda"", ""cinnamon"", ""allspice"", ""nutmeg"", ""clove"", ""light brown sugar"", ""egg"", ""low-fat buttermilk"", ""vanilla"", ""carrots"", ""crushed pineapple""}",5,3,16,"{""Set oven to 350 degrees."", ""Grease a 13 x 9-inch baking dish."", ""In a bowl combine the cake flour, baking soda and spices."", ""In another bowl beat egg and egg whites together with sugar and oil until light and fluffy {about 3 minutes}."", ""Stir in buttermilk and vanilla; mix until combined."", ""Gradually add in the flour mixture to the liquid mixture using low speed or with a wooden spoon."", ""Add in shredded carrots and pineapple into the batter; mix until combined using wooden spoon."", ""Transfer mixture to prepared baking dish."", 
""Bake for about 35-40 minutes or until the cake tests done."", ""Cool completely if frosting.""}"
25,Wasabi Soy Fiddleheads,Parsley,12M,5M,17M,2006-05-12,Make and share this Wasabi Soy Fiddleheads recipe from Food.com.,{NA},"{""1"", ""3/4 - 1"", ""3"", ""1/2"", ""4"", NA}","{""wasabi paste"", ""water"", ""sugar"", ""reduced sodium soy sauce""}",5,1,0,"{""* To Clean:  In a large bowl in the sink, rinse the fiddleheads under water and dislodge the brown scales; drain and repeat. Trim the ends off the ferns {last piece on the coils}."", ""Bring a large saucepan of salted water to a boil. Add the cleaned fiddleheads and cook for about 10-12 minutes or until they are tender; drain and set cooked fiddleheads aside."", ""In a small bowl, whisk together wasabi paste, water, sugar and soy sauce."", ""Transfer the cooked fiddleheads to a bowl and pour the sauce over them. Toss gently to coat and serve hot or at room temperature.""
}"
26,Sweet and Sour Fiddleheads,Parsley,20M,5M,25M,2006-05-12,"Just going through my old cookbooks to find all the fiddlehead recipes, since there aren't many here.",{NA},"{""1"", ""2"", ""2"", ""1/4"", ""2"", ""1 1/2"", ""1"", NA}","{""water"", ""brown sugar"", ""ground mustard"", ""cider vinegar"", ""lemon juice"", ""butter""}",0,0,0,"{""Cook fiddleheads in boiling salted water for 12 - 15 min or until just tender.  Drain and place in a serving dish."", ""Meanwhile, combine the remaining  ingredients in a saucepan and bring just to a boil.  Reduce heat and simmer 1 minute, stirring constantly."", ""Pour this sauce over the cooked fiddleheads in the serving bowl."", ""Serve immediately.""}"
27,Bacon-Wrapped Asparagus,CharlotteJ,20M,5M,25M,2006-05-12,"Easy-to-prepare appetizer.  Laurita has a good idea so the asparagus does not over cook, to pre-cook bacon a little.  So try my Recipe #187790 to avoid over cooking asparagus.","{""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/34/picbxZcRd.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/34/picJubEgQ.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/34/picilSfH3.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/34/picflMpUL.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/34/pic49Sxqq.jpg""
}","{""1"", ""8 -10""}","{""fresh asparagus"", ""bacon""}",5,21,0,"{""Wash and trim asparagus spears."", ""Cut bacon strips in half crosswise."", ""Wrap one-half strip bacon around each asparagus spear, leaving tip and end exposed."", ""Lay on a cookie sheet with sides."", ""Bake in a preheated 400 degree Fahrenheit oven for 20 to 25 minutes, or until bacon is cooked."", ""Serve warm or at room temperature."", ""**Note: You may want to try my Baked Bacon recipe #187790 for 10 minutes, to avoid over cooking asparagus.""}"
28,Pesto Chicken Pasta With Asparagus,CharlotteJ,8M,10M,18M,2006-05-12,Make and share this Pesto Chicken Pasta With Asparagus recipe from Food.com.,{NA},"{""8"", ""2"", ""3"", ""1"", ""1/3"", ""1"", ""3/4"", ""3""}","{""farfalle pasta"", ""fresh asparagus"", ""cherry tomatoes"", ""red onion"", ""sliced ripe olives"", ""pesto sauce"", ""romano cheese""}",5,1,6,"{""Cook pasta according to package directions, rinse and drain."", ""Steam or microwave asparagus until tender crisp."", ""Drain."", ""Combine cooked pasta and asparagus in a large bowl."", ""Stir in chicken, tomatoes, onion and olives."", ""Gently toss with pesto sauce."", ""Serve warm, garnished with cheese."", ""Refrigerate leftovers."", ""They make a great lunch.""}"
29,Tater Tot Casserole,Missie72,45M,15M,1H,2006-05-12,Make and share this Tater Tot Casserole recipe from Food.com.,{NA},"{""2"", ""1"", ""1"", ""6""}","{""ground beef"", ""cheese""}",5,3,0,"{""Brown hamburger meat. Drain."", ""Add cream of mushroom soup, stir, let cook till hot."", ""Lay tater tots on bottom of pan."", ""Spread hamburger mix on top of tator tots."", ""Put slices of cheese or sherred chesse on top."", ""Cover with foil & cook at 350 till tater tots are done.""}"
30,Asparagus on Toast,CharlotteJ,15M,10M,25M,2006-05-12,Make and share this Asparagus on Toast recipe from Food.com.,"{""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/16/78/38/picCe7KtC.jpg""}","{""1 1/2"", ""3"", ""3"", ""1/4"", ""1/8"", ""13"", NA, ""1/4"", ""4"", NA}","{""asparagus"", ""butter"", ""margarine"", ""flour"", ""salt"", ""nutmeg"", ""mushrooms"", ""milk"", ""sour cream"", ""pimentos""}",4,1,4,"{""Melt butter and stir in four, salt and nutmeg."", ""Drain broth from mushrooms and add milk to broth to make 1-1/4 cups."", ""Add to flour mixture and cook, stirring until thickened."", ""Add mushrooms and heat through."", ""Blend in sour cream."", ""Arrange warm asparagus spears on toast."", ""Top with sauce and garnish with pimento.""}"
31,Asparagus Pasta Stir Fry,CharlotteJ,18M,5M,23M,2006-05-12,Make and share this Asparagus Pasta Stir Fry recipe from Food.com.,{NA},"{""1"", ""1/2"", ""2"", ""2"", ""1"", ""1"", ""1/2"", ""1/4"", ""6""}","{""fresh asparagus"", ""onion"", ""soy sauce"", ""garlic clove"", ""gingerroot"", ""Worcestershire sauce"", ""crushed red pepper flakes"", ""angel hair pasta""}",5,2,6,"{""Diagonally slice asparagus into 1-1/2 to 2 inch pieces."", ""Stir-fry asparagus and onion until crisp-tender."", ""Add seasonings and mix well."", ""Add cooked pasta and stir-fry until thoroughly heated and evenly mixed.""}"
