Baking powder,1 tsp.,1/4 tsp. baking soda and 1/2 cup sour milk or buttermilk (Decrease liquid called for in the recipe by 1/2 cup.)
Baking powder,1 tsp.,1/4 tsp. baking soda and 1/2 tsp. vinegar or lemon juice used with sweet milk to make 1/2 cup (Decrease liquid called for in the recipe by 1/2 cup.)
Baking powder,1 tsp,1?3 tsp baking soda and 1?2 tsp cream of tartar
"Baking powder, double acting",1 teaspoon,1/4 teaspoon baking soda and 5/8 teaspoon cream of tartar
Baking soda,1 teaspoon,"4 teaspoons baking powder�OR�1 teaspoon potassium bicarbonate and 1/3 teaspoon salt.�NOTE:�If the recipe calls for an acidic liquid such as sour cream, yogurt, buttermilk, vinegar, molasses, or citrus juice, you should replace it with the same amount of whole milk"
Baking soda,1 teaspoon,4 teaspoons baking powder; or 1 teaspoon potassium bicarbonate and 1/3 teaspoon salt.
Baking Soda (Sodium Bicarbonate)Rule: 1/4 teaspoon for every 1 cup flour,1 teaspoon,You need to use 2 to 3 times more double-acting baking powder than baking soda. Replace acidic liquid ingredient in recipe with non-acidic liquid.
Bay leaf,1 whole,1/4 teaspoon crushed bay leaves
Bay leaf,1 whole,1/4 tsp. crushed
Bay leaf,1 whole,1?4 tsp crushed
Beau Monde,1 tsp.,1 tsp seasoning or seasoned salt
Beau Monde,1 tsp.,1/2 tsp. Mei Yen seasoning
Beau Monde,1 tsp.,1/2 tsp. salt
Beau Monde seasoning,1 teaspoon,1 teaspoon seasoning salt
Beau monde seasoning,1 tsp,1 tsp seasoning or seasoned salt
Beer,1 cup,1 cup nonalcoholic beer�OR�1 cup chicken broth
Beer,1 cup,"1 cup water, white grape juice, apple cider or apple juice, diluted peach or apricot syrups. (Substitute equal amounts of liquid.)"
Brandy,1/4 cup,1 teaspoon imitation brandy extract plus enough water to make 1/4 cup
Brandy,1/4 cup,1 tsp brandy extract plus enough water or liquid called for in recipe to make 1/4 cup
Bread,1 slice dry,1/3 cup dry breadcrumbs
Bread,1 slice soft bread,3/4 cup soft breadcrumbs
Bread crumbs,1 cup,1 cup cracker crumbs�OR�1 cup matzo meal�OR�1 cup ground oats
Bread crumbs,1 cup,1 cup cracker crumbs; or 1 cup matzo meal�OR�1 cup ground oats
"Bread Crumbs, dry",1 cup,1 cup crushed cracker crumbs
"Bread Crumbs, Soft",3/4 cup,1 slice soft or fresh bread
Broth,1 cup,1 bouillon cube (beef or chicken) dissolved in 1 cup boiling water
"Broth, beef or chicken",1 cup,1 1/2 tsp. powdered broth base dissolved in 1 cup boiling water
"Broth, beef or chicken",1 cup,1 bouillon cube dissolved in 1 cup boiling water
"Broth, beef or chicken",1 cup,1 bouillon cube dissolved in 1 cup boiling water
"Broth, beef or chicken",1 cup,1 envelope powdered broth base dissolved in 1 cup boiling water
Broth: beef or chicken,1 cup,1 bouillon cube plus 1 cup boiling water�OR�1 tablespoon soy sauce plus enough water to make 1 cup�OR�1 cup vegetable broth
Brown sugar,"1 cup, packed",1 cup white sugar plus 1/4 cup molasses and decrease the liquid in recipe by 1/4 cup�OR�1 cup white sugar�OR�1 1/4 cups confectioners' sugar
Brown sugar,1 cup,Add 1 tablespoon of molasses plus granulated sugar to make 1 cup
Butter,1 cup,1 cup margarine
Butter,1 cup,7/8 cup lard plus 1/2 tsp. salt
Butter,1 cup,7/8 to 1 cup hydrogenated fat and 1/2 tsp. salt
Butter,1 cup,7?8�1 cup hydrogenated fat and 1?2 tsp salt
Butter (salted),1 cup,1 cup margarine�OR�1 cup shortening plus 1/2 teaspoon salt�OR�7/8 cup vegetable oil plus 1/2 teaspoon salt�OR�7/8 cup lard plus 1/2 teaspoon salt
Butter (unsalted),1 cup,1 cup shortening�OR�7/8 cup vegetable oil�OR�7/8 cup lard
"Butter, salted",1 cup,1 cup margarine; or 1 cup shortening plus 1/2 teaspoon salt; or 7/8 cup vegetable oil plus 1/2 teaspoon salt
"Butter, unsalted",1 cup,1 cup shortening�OR�7/8 cup vegetable oil
Buttermilk,1 cup,1 cup yogurt�OR�1 tablespoon lemon juice or vinegar plus enough milk to make 1 cup
Buttermilk,1 cup,1 tablespoon lemon juice or vinegar plus milk to equal 1 cup; or 1 cup plain yogurt
Buttermilk (sour milk),1 cup,1 cup milk plus 1 3/4 tsp. cream of tartar
Buttermilk (sour milk),1 cup,1 cup milk plus 1 tablespoons vinegar (white or cider) or lemon juice (let stand 5 minutes before using)
Buttermilk (sour milk),1 cup,1 cup plain yogurt
Buttermilk (sour milk),1 cup,1 cup whole or skim milk plus 1 tbsp. lemon juice or white vinegar
ButterRule: Don't use spreads or low-fat butter in baking,1 cup,7/8 to 1 cup hydrogenated fat (shortening) and 1/2 teaspoon salt
Cajun Spice,1 tablespoon,"1/2 teaspoon white pepper, 1/2 teaspoon garlic powder, 1/2 teaspoon onion powder, 1/2 teaspoon ground red pepper, 1/2 teaspoon paprika, and 1/2 teaspoon black pepper"
Cake Flour,1 cup,1 cup all-purpose flour minus 2 tablespoons
Can sizes and equivalents,,see�Can Sizes and Equivalents
"Cardamon, ground",1 teaspoon,1 teaspoon ground anise
Catsup,1 cup,1 cup tomato sauce
Catsup,1 cup,"1 cup tomato sauce, 1/2 cup sugar, and 2 tbsp vinegar for use in cooking)"
Cheddar cheese,1 cup shredded,1 cup shredded Colby cheddar�OR�1 cup shredded Monterey Jack cheese
Chervil,1 tablespoon chopped fresh,1 tablespoon chopped fresh parsley
"Chervil, fresh",1 tablespoon chopped,1 tablespoon chopped fresh parsley
Chicken base,1 tablespoon,1 cup canned or homemade chicken broth or stock. Reduce liquid in recipe by 1 cup
Chicken stock,1 1?2 tsp,1 cube instant chicken bouillon base
Chicken stock,1 Tbsp dissolved in 1 cup water and the second part,1 cup canned or homemade chicken broth or chicken stock.
"Chicken stock base, instant",1 teaspoon,1 chicken bouillon cube
"Chicken stock base, instant",1 tbsp dissolved in 1 cup water,1 cup canned chicken broth1 cup homemade chicken broth or chicken stock
Chili sauce,1 cup,"1 cup catsup, 1/4 tsp. cinnamon, dashes of ground cloves and allspice"
Chili sauce,1 cup,"1 cup tomato sauce, 1/4 cup brown sugar, 2 tbsp vinegar, 1/4 tsp cinnamon, dash of ground cloves, and dash of allspice"
Chili sauce,1 cup,"1 cup tomato sauce, 1/4 cup brown sugar, 2 tbsp. vinegar, 1/4 tsp. cinnamon, a dash of ground cloves, and a dash of allspice"
Chili sauce,1 cup,"1 cup tomato sauce, 1?4 cup brown sugar, 2 Tbsp vinegar, 1?4 tsp cinnamon, dash of ground cloves, and dash of allspice"
Chives,2 tsp,"2 tsp green onion tops, finely chopped"
"Chives, finely chopped",2 teaspoons,2 teaspoons finely chopped green onion tops
"Chives, finely chopped",2 tsp.,"2 tsp. green onion tops, finely chopped"
Chocolate (semisweet),1 ounce,1 (1-ounce) square of unsweetened chocolate plus 4 teaspoons sugar�OR�1 ounce semisweet chocolate chips plus 1 teaspoon shortening
Chocolate (unsweetened),1 ounce,3 tablespoons unsweetened cocoa plus 1 tablespoon shortening or vegetable oil
Chocolate chips,1 oz,1 oz sweet or semisweet cooking chocolate
"Chocolate chips, semi-sweet Also check out�Chocolate Substitution Chart",1 ounce,1 ounce sweet cooking chocolate
"Chocolate chips, semi-sweet chips, melted",6-ounce package,"2 squares unsweetened chocolate, 2 tablespoons shortening, and 1/2 cup sugar"
"Chocolate, chips semisweet",1 oz.,1 oz. sweet cooking chocolate
"Chocolate, semisweet",6 oz. package,1 cup
"Chocolate, semisweet",1 2?3 oz,1 oz unsweetened chocolate and 4 tsp sugar
"Chocolate, semisweet",1 2/3 oz.,1 oz. unsweetened chocolate plus 4 tsp. sugar
"Chocolate, semi-sweet",1 2/3 ounces,1 ounce unsweetened chocolate and 4 teaspoon sugar
"Chocolate, semisweet chips, melted",6-oz package,"2 squares unsweetened chocolate, 2 Tbsp shortening, and 1?2 cup sugar"
"Chocolate, unsweetened",1 ounce,3 tablespoons cocoa plus 1 tablespoon unsaltedbutter (or shortening or vegetable oil)
"Chocolate, unsweetened",1 square or 1 ounce,3 tablespoons cocoa powder plus 1 tablespoon butter or margarine
"Chocolate, unsweetened",1 oz or,3 Tbsp cocoa and 1 Tbsp fat
"Chocolate, unsweetened",1 oz. or square,3 tbsp cocoa plus 1 tbsp. fat
"Chocolate, white",1 ounce,1 ounce milk chocolate
Cocoa,1/4 cup,1 (1-ounce) square unsweetened chocolate
Cocoa,1?4 cup,"1 oz (or 1 square) chocolate; for every 4 Tbsp fat called for in recipe, decrease by 1?2 Tbsp"
Cocoa,1/4 cup or 4 tbsp.,1 oz (square) unsweetened chocolate (Decrease fat called for in the recipe by 1/2 tbsp.)
"Cocoa powder, natural unsweetened",3 tablespoons,1 ounce (square) chocolate (decrease fat called for in recipe by 1/2 tablespoon)
"Cocoa, Dutch Processed",3 tablespoons,3 tablespoons natural unsweetened cocoa powder plus 1/8 teaspoon baking soda
Coconut,"1 tablespoon grated, dry",1 1/2 tablespoons fresh grated coconut
Coconut,"1 Tbsp grated, dry","1 1?2 Tbsp fresh coconut, grated"
Coconut cream,1 cup,1 cup whipping cream
Coconut cream,1 cup,1 cup whipping cream
"Coconut cream, canned",1 cup,1 cup heavy cream or whipping cream
Coconut milk,1 cup,1 cup whole or 2% milk
Coconut milk,1 cup,1 cup whole or 2% milk
"Coconut milk, canned",1 cup,1 cup whole milk
"Coffee, strong brewed",1/4 cup,2 tablespoons instant espresso powder dissolved in 3 tablespoons hot water
Condensed cream of mushroom soup,1 (10.75-ounce can),"1 (10.75 ounce can) condensed cream of celery, cream of chicken, or golden mushroom soup."
Condensed cream of mushroom soup,1 (10.75-ounce) can,"1 (10.75-ounce) can condensed cream of celery, cream of chicken, or�golden mushroom soup"
Corn,1 dozen ears,2 1/2 cups cooked
Corn syrup,1 cup,1 1/4 cup light brown sugar and 1/3 cup water
Corn syrup,1 cup,1 1/4 cup white sugar plus 1/3 cup water�OR�1 cup honey�OR�1 cup light treacle syrup
Corn syrup,1 cup,1 cup granulated sugar and 1/4 liquid (use whatever liquid is called for in the recipe)
Corn syrup,1 cup,1 cup sugar and 1?4 cup liquid (use whatever liquid is called for in the recipe)
Corn syrup,1 cup,7/8 cup honey (Baked goods will brown more.)
"Corn syrup, dark",1 cup,3/4 cup light corn syrup and 1/4 cup light molasses
"Cornmeal, self-rising",1 cup,"7/8 cup plain, 1 1/2 tablespoons baking powder, and 1/2 teaspoon salt"
"Cornmeal, self-rising",1 cup,"7/8 cup plain, 1 1/2 tbsp. baking powder, and 1/2 tsp. salt"
"Cornmeal, stone ground",1 cup,"1 cup regular milled cornmeal, corn grits, polenta, or maize meal"
Cornstarch,1 Tbsp,2 Tbsp all-purpose flour
Cornstarch (for thickening),1 tablespoon,2 tablespoon all-purpose flour
Cornstarch (for thickening),1 tbsp.,2 tbsp. all-purpose flour
Cornstarch (for thickening),1 tbsp.,2 tbsp. granular tapioca
Cottage cheese,1 cup,1 cup farmer's cheese
Cottage cheese,1 cup,1 cup farmer's cheese�OR�1 cup ricotta cheese
Cracker crumbs,1 cup,1 cup bread crumbs�OR�1 cup matzo meal�OR�1 cup ground oats
Cracker crumbs,3/4 cup,1 cup dry bread crumbs
Cracker crumbs,1 cup,1 cup dry bread crumbs
Cracker crumbs,3?4 cup,1 cup dry bread crumbs
Cracker crumbs,3/4 cup,1 cup dry bread crumbs; or 1 tablespoon quick-cooking oats (for thickening)
Cream (half and half),1 cup,7/8 cup milk plus 1 tablespoon butter
Cream (heavy),1 cup,1 cup evaporated milk�OR�3/4 cup milk plus 1/3 cup butter
Cream (light),1 cup,1 cup evaporated milk�OR�3/4 cup milk plus 3 tablespoons butter
Cream (whipped),1 cup,"1 cup frozen whipped topping, thawed"
Cream cheese,1 cup,1 cup pureed cottage cheese
Cream of tartar,1 teaspoon,1 teaspoon lemon juice or vinegar
Cream of tartar,1 teaspoon,2 teaspoons lemon juice or vinegar
"Cream, half-and-half",1 cup,"1/2 cup whole milk, plus 1/2 cup light cream"
"Cream, half-and-half",1 cup,7?8 cup milk and 1?2 Tbsp butter or margarine
"Cream, heavy",1 cup,2 to 2 1/2 cup whipped
"Cream, heavy",1 cup,3/4 cup milk and 1/3 cup butter or margarine (for use in cooking or baking)
"Cream, heavy",1 cup,3/4 cup milk plus 1/3 cup melted butter (this will not whip)
"Cream, heavy (36 to 40% fat)",1 cup,3/4 cup milk and 1/3 cup butter or margarine (for use in cooking or baking)
"Cream, heavy (36�40% fat)",1 cup,3?4 cup milk and 1?3 cup butter or margarine (for use in cooking and baking)
"Cream, light",1 cup,"1 cup evaporated milk, undiluted"
"Cream, light",1 cup,3/4 cup milk and 3 tbsp. butter or margarine (for use in cooking or baking)
"Cream, light",1 cup,3?4 cup milk and 3 Tbsp butter or margarine (for use in cooking and baking)
"Cream, light",1 cup,"7/8 cup milk plus 3 tablespoons melted, unsalted butter"
"Cream, light (18 to 20% fat)",1 cup,3/4 cup milk and 3 tablespoons butter or margarine (for use in cooking or baking)
"Cream, sour",1 cup,"7/8 cup buttermilk or plain yogurt plus 3 tablespoons melted, unsalted butter"
"Cream, whipped",any amount,Chill a 13 ounce can of evaporated milk for 12 hours. Add 1 tablespoon lemon juice. Whip until stiff.
"Cream, whipped",1 cup,Chill a 13 oz. can of evaporated milk until ice crystals form. Add 1 tsp. lemon juice. Whip until stiff.
"Cream, whipped",,Chill a 13-oz can of evaporated milk for 12 hours. Add 1 tsp lemon juice. Whip until stiff.
"Cream, whipping",1 cup,"2/3 cup well-chilled evaporated milk, whipped; or 1 cup nonfat dry milk powder whipped with 1 cup ice water"
Creme fraiche,1 cup,Combine 1 cup heavy cream and 1 tablespoon plain yogurt. Let stand for 6 hours at room temperature
Cr�me fraiche,1 cup,Combine 1 cup of heavy cream and 1 tablespoon of plain yogurt. Let stand for 6 hours at room temperature
Currants,1 cup,1 cup raisins
D,,
Dates,1 lb.,2 1/2 cup pitted
"Dill plant, fresh or dried",3 heads,1 tablespoons dill seed
"Dill plant, fresh or dried",3 heads,1 Tbsp dill seed
"Dill plant, fresh or dried",3 heads,1 tbsp. dill seed
E,,
Egg,1 whole (3 tablespoons or 1.7 oz),2 1/2 tablespoons of powdered egg substitute plus 2 1/2 tablespoons water�OR�1/4 cup liquid egg substitute�OR�1/4 cup silken tofu pureed�OR�3 tablespoons mayonnaise�OR�half a banana mashed with 1/2 teaspoon baking powder�OR�1 tablespoon powdered flax seed soaked in 3 tablespoons water
Egg,1 whole (3 tablespoons or 1.7 ounce),3 tablespoons and 1 teaspoon thawed frozen egg
Egg,1 whole,3 Tbsp and 1 tsp thawed frozen egg
Egg white,1 white,"2 tablespoons meringue powder plus 3 tablespoons water, combined"
Egg white,1 white (2 tablespoons),2 tablespoons thawed frozen egg white
Egg white,1 white,2 Tbsp thawed frozen egg white
Egg white,1 large,2 tbsp. sifted dry egg white powder and 2 tbsp. lukewarm water
Egg white,1 large,2 tsp. thawed frozen egg white
Egg white,1 cup,8 large egg whites
Egg yolk,1 cup,12 large egg yolks
Egg yolk,1 yolk (1 1/2 tablespoons),"2 tablespoons sifted, dry egg yolk powder and 2 teaspoons water"
Egg yolk,1 yolk,"2 Tbsp sifted, dry egg yolk powder and 2 tsp water"
Egg yolk,1 yolk,2 tbsp. sifted dry egg yolk
Egg yolk,1 yolk,3 1/2 tbsp. thawed frozen egg yolk
Egg�,1 whole (3 tablespoons),"2 yolks plus 1 tablespoon cold water; or 3 tablespoons vegetable oil plus 1 tablespoon water (for baking); or 3 tablespoons mayonainaise (for cakes); or� 2 1/2 tablespoons of powdered egg substitute plus 2 1/2 tablespoons water, or 1/4 cup liquid egg substitute; or half a banana mashed with 1/2 teaspoon baking powder"
"Egg, whole, uncooked",1 large,"2 1/2 tbsp. sifted, dry whole egg powder and 2 1/2 tbsp. lukewarm water"
"Egg, whole, uncooked",1 large,2 whites as a thickening agent
"Egg, whole, uncooked",1 large,"2 yolks (in custards, cream fillings, and similar mixture)"
"Egg, whole, uncooked",1 large,2 yolks and 1 tbsp. water (in cookies)
"Egg, whole, uncooked",1 large,3 tbsp. and 1 tsp. thawed frozen egg
"Eggs, uncooked",1 cup,5 large eggs
"Eggs, uncooked",1 cup,6 medium eggs
Evaporated milk,1 cup,1 cup light cream
Extracts (such ash lemon or peppermint),1 teaspoon,1/4 teaspoon of oil of similar flavor
F,,
Farmer's cheese,8 ounces,"8 ounces dry cottage cheese�OR�8 ounces creamed cottage cheese, drained"
Fats for baking,1 cup,1 cup applesauce�OR�1 cup fruit puree
Fines Herbes,1/3 cup,3 tbsp. parsley flakes + 2 tsp. dried chervil + 2 tsp. dried chives + 1 tsp. dried tarragon
Fish sauce,1 teaspoon,1 teaspoon Worcestershire sauce
"Flour, all-purpose",1 cup sifted,1 cup and 2 tablespoons cake flour
"Flour, all-purpose",1 cup sifted,1 cup and 2 Tbsp cake flour
"Flour, all-purpose",1 cup sifted,1 cup and 2 tbsp.cake flour
"Flour, all-purpose",1 cup,1 cup plus 3 tablespoons cake flour (not advised for cookies or quick breads); or 1 cup self-rising flour (omit baking powder and salt from recipe).
"Flour, all-purpose",1 cup sifted,"1 cup rolled oats, crushed"
"Flour, all-purpose",1 cup sifted,1 cup rye or rice flour
"Flour, all-purpose",1 cup sifted,1/2 cup cornmeal or soybean flour and 2/3 cup all-purpose flour
"Flour, all-purpose",1 cup sifted,"1/2 cup cornmeal, bran, rice flour, or whole wheat flour and 1/2 cup all-purpose flour"
"Flour, all-purpose",1 cup sifted,1/4 cup soybean flour and 3/4 cup all-purpose flour
"Flour, all-purpose",1 lb.,3 1/3 cups unsifted
"Flour, all-purpose",1 cup sifted,3/4 cup whole wheat flour or bran flour and 1/4 cup all-purpose flour
"Flour, all-purpose",1 lb.,4 cups sifted
"Flour, all-purpose (for thickening)",1 tbsp.,1 1/2 tbsp. whole wheat flour
"Flour, all-purpose (for thickening)",1 tablespoon,"1 1/2 teaspoon cornstarch, arrowroot starch, potato starch, or rice starch"
"Flour, all-purpose (for thickening)",1 tbsp.,"1 1/2 tsp. cornstarch, arrowroot starch, potato starch, or rice starch"
"Flour, all-purpose (for thickening)",1 Tbsp,"1 1?2 tsp cornstarch, arrowroot starch, potato starch, or rice starch"
"Flour, all-purpose (for thickening)",1 tbsp.,1 tbsp. granular tapioca
"Flour, all-purpose (for thickening)",1 tbsp.,1 tbsp. quick-cooking tapioca
"Flour, all-purpose (for thickening)",1 tbsp.,1 tbsp. waxy rice flour
"Flour, all-purpose (for thickening)",1 tbsp.,1/2 tbsp. whole wheat flour and 1/2 tbsp all-purpose flour
"Flour, all-purpose (for thickening)",1 tbsp.,2 tbsp. browned flour
"Flour, cake",1 cup,1 cup minus 2 tablespoons sifted all-purpose flour plus 3 tablespoons cornstarch
"Flour, cake",1 cup sifted,1 cup minus 2 Tbsp sifted all-purpose flour
"Flour, cake",1 cup sifted,1 cup minus 2 tbsp. sifted all-purpose flour (7/8 cup)
"Flour, cake",1 cup sifted,1 cup sifted all-purpose flour minus 2 tablespoons sifted all-purpose flour
"Flour, cake",1 lb.,4 3/4 cups
"Flour, self-rising",1 cup,1 cup all-purpose flour plus 1�1/2 teaspoons baking powder plus 1/4 teaspoon salt
"Flour, self-rising",1 cup,1 cup minus 2 tablespoons all-purpose flour plus 1/1/2 tsp baking powder and 1/2 tsp salt
"Flour, self-rising",1 cup,1 cup minus 2 tsp all-purpose flour and 1 1?2 tsp baking powder and
"Flour, self-rising",1 cup,"1 cup minus 2 tsp all-purpose flour, 1 1/2 tsp. baking powder, and 1/2 tsp. salt"
"Flour, whole wheat",,substitute whole wheat flour for
"Flour, whole wheat",any amount,Substitute whole wheat flour for 1/4 to 1/2 of the white flour called for in a recipe
Flour: bread,1 cup,1 cup all-purpose flour plus 1 teaspoon wheat gluten
Flour: cake,1 cup,1 cup all-purpose flour minus 2 tablespoons
Flour: self-Rising,1 cup,7/8 cup all-purpose flour plus 1 1/2 teaspoons baking powder and 1/2 teaspoon of salt
"Fruit, fresh, cut up",1 1/2 cups,"16 oz. can, drained"
Garlic,"1 clove, small",1/8 teaspoon garlic powder
Garlic,1 small clove,1/8 teaspoon garlic powder or instant minced garlic
Garlic,1 clove,"1/8 teaspoon garlic powder�OR�1/2 teaspoon granulated garlic�OR�1/2 teaspoon garlic salt, reduce salt in recipe"
Garlic,"1 clove, small",1/8 tsp. garlic powder
Garlic,"1 clove, small",1?8 tsp garlic powder
Garlic Salt,3/4 teaspoon,1 medium-size clove or 1/2 teaspoon minced fresh garlic
Garlic salt,1 tsp.,1/8 tsp. garlic powder plus 7/8 tsp. salt
Gelatin,3-oz package,1 Tbsp plain gelatin and 2 cups flavored fruit juice
Gelatin,"1 tablespoon, granulated",2 teaspoons agar agar
"Gelatin, flavored",3-ounce package,1 tablespoon plain gelatin and 2 cups fruit juice
"Gelatin, flavored",3 oz.,1 tbsp. plain gelatin and 2 cups fruit juice
"Gelatin, leaf or sheet",4 leaves or sheets,1 (1/4 ounce) envelope powdered gelatin
"Gelatin, powdered (plain or unflavored)","1 envelope (1/4 ounce), 1 tablespoon granulated",2 teaspoons agar agar
Ghee,1 tablespoon,1 tablespoon butter
Ginger,1/8 tsp.,1 tbsp. raw ginger
Ginger,1/8 tsp.,"1 tsp. candied ginger rinsed in water to remove sugar, then finely cut"
Ginger (dry),1 teaspoon,2 teaspoons chopped fresh ginger
Ginger (fresh),"1 teaspoon, minced",1/2 teaspoon ground dried ginger
"Ginger root, fresh",1 teaspoon freshly grated,1/2 teaspoon ground ginger
"Ginger, powdered",1?8 tsp,"1 Tbsp candied ginger rinsed in water to remove sugar, and finely cut"
Green onion,"1/2 cup , chopped",1/2 cup chopped onion�OR�1/2 cup chopped leek�OR�1/2 cup chopped shallots
"Green onions, fresh",1/2 cup chopped,1/2 cup chopped onion
Hazelnuts,1 cup whole,1 cup macadamia nuts�OR�1 cup almonds
Herbs (fresh),1 tablespoon chopped fresh,1 teaspoon (chopped or whole leaf) dried herbs
"Herbs, dried",1/2 to 1 teaspoon,"1 tablespoon fresh herbs, minced and packed"
"Herbs, fresh",1 tablespoon finely cut,1 teaspoon dried ground herbs
"Herbs, fresh","1 tbsp, chopped",1/2 tsp. dried crushed herbs
"Herbs, fresh and finely cut",1 Tbsp,1 tsp dried herbs
Herring,8 ounces,8 ounces of sardines
Herring,8 ounces,8 ounces sardines
Honey,1 cup,1 1/4 cup granulated sugar and 1/4 cup liquid (use liquid called for in recipe)
Honey,1 cup,1 1/4 cup sugar and 1/4 cup water
Honey,1 cup,1 1/4 cup white sugar plus 1/3 cup water�OR�1 cup corn syrup�OR�1 cup light treacle syrup
Honey,1 cup,1 1?4 cups sugar and 1?4 cup liquid (use liquid called for in recipe)
Honey,1 cup,1�1/4 cups sugar plus 1/2 cup liquid called for in recipe (such as water or oil); or 1 cup pure maple syrup
Horseradish,1 tablespoon fresh,2 tablespoons bottled
Horseradish,"1 Tbsp, fresh",2 Tbsp bottled
Horseradish,1 tbsp.,2 tbsp. bottled fresh
Hot pepper sauce,1 teaspoon,3/4 teaspoon cayenne pepper plus 1 teaspoon vinegar
Hot pepper sauce,1 teaspoon,3/4 teaspoon cayenne pepper plus 1 teaspoon vinegar
Ingredient,Amount,Substitute
Ingredient,Amount,Substitutes
Ingredient,Amount,Substitutes
Ingredient,Amount,Substitutes
Ingredient,Amount,
Italian Seasoning,,"Combine 1 teaspoon basil, 1 tablespoon fresh or dried parsley, and 1/2 teaspoon oregano"
Ketchup,1 cup,1 cup tomato sauce plus 1/4 cup sugar plus 3 tablespoons apple cider vinegar plus 1/2 teaspoon salt plus inch of ground cloves combined; or 1 cup chili sauce
Ketchup,1 cup,"1 cup tomato sauce, 1/4 cup brown sugar, and 2 tbsp. vinegar (for use in cooking)"
Lard,1 cup,1 cup shortening�OR�7/8 cup vegetable oil�OR�1 cup butter
Lemon,1 tsp juice,1?2 tsp vinegar
Lemon,1 medium,2�3 Tbsp juice and 1�2 tsp rind
Lemon grass,2 fresh stalks,1 tablespoon lemon zest
Lemon grass,,Equal amount of grated lemon zest moistened with a bit of fresh lemon juice
Lemon juice,1 teaspoon,1/2 teaspoon vinegar
Lemon juice,1 teaspoon,1/2 teaspoon vinegar�OR�1 teaspoon white wine�OR�1 teaspoon lime juice
Lemon juice,1 tsp. juice,1/2 tsp. vinegar
"Lemon juice, freshly squeezed",1 tablespoon juice,1 tablespoon bottled lemon juice
"Lemon peel, dried",1 teaspoon,1 to 2 teaspoons grated fresh lemon peel (zest)
"Lemon peel, dried",1 tsp.,1 to 2 tsp. grated fresh lemon peel
"Lemon peel, dried",1 tsp.,1/2 tsp. lemon extract
"Lemon peel, dried",1 tsp,1�2 tsp grated fresh lemon peel
"Lemon peel, dried",1 tsp.,grated peel of 1 medium lemon
"Lemon rind, grated",1 teaspoon,1/2 teaspoon lemon extract
Lemon zest,1 teaspoon,1/2 teaspoon lemon extract�OR�2 tablespoons lemon juice
Lemon zest (peel),1 teaspoon,1/2 teaspoon lemon extract
"Lemon, juice and rind",1 lemon,3 tablespoons bottled lemon juice and 1 teaspoon dried grated rind
"Lemon, whole",1 medium,2 tablespoons lemon juice and 2 to 3 teaspoons lemon rind (zest)
Lime,1 medium,1 1/2 to 2 tbsp. juice
Lime juice,1 teaspoon,1 teaspoon vinegar�OR�1 teaspoon white wine�OR�1 teaspoon lemon juice
"Lime juice, freshly squeezed",1 tablespoon juice,1 tablespoon bottled lime juice
Lime zest,1 teaspoon,1 teaspoon lemon zest
Lime zest (peel),,
Macadamia nuts,1 cup,1 cup almonds�OR�1 cup hazelnuts
